Region,Country,Year,Population,Area (sq. km.),Density (persons per sq. km.)
Custom Region,"Gambia, The",2020,2173999,10120,214.8
Custom Region,Gaza Strip,2020,1918221,360,5328.4
Custom Region,Georgia,2020,4930030,69700,70.7
Custom Region,Germany,2020,80159662,348672,229.9
Custom Region,Ghana,2020,29340248,227533,128.9
Custom Region,Gibraltar,2020,29581,7,4550.9
Custom Region,Greece,2020,10607051,130647,81.2
Custom Region,Greenland,2020,57616,2166086,0
Custom Region,Grenada,2020,113094,344,328.8
Custom Region,Guam,2020,168485,544,310
Custom Region,Guatemala,2020,17153288,107159,160.1
Custom Region,Guernsey,2020,67052,78,859.6
Custom Region,Guinea,2020,12527440,245717,51
Custom Region,Guinea-Bissau,2020,1927104,28120,68.5
Custom Region,Guyana,2020,750204,196849,3.8
Custom Region,Haiti,2020,11067777,27560,401.6
Custom Region,Honduras,2020,9235340,111890,82.5
Custom Region,Hong Kong,2020,7249907,1073,6756.7
Custom Region,Hungary,2020,9771827,89608,109.1
Custom Region,Iceland,2020,350734,100250,3.5
Custom Region,India,2020,1326093247,2973193,446
Custom Region,Indonesia,2020,267026366,1811569,147.4
Custom Region,Iran,2020,84923314,1531595,55.4
Custom Region,Iraq,2020,38872655,437367,88.9
Custom Region,Ireland,2020,5176569,68883,75.2
Custom Region,Isle of Man,2020,90499,572,158.2
Custom Region,Israel,2020,8675475,21497,403.6
Custom Region,Italy,2020,62402659,294140,212.2
Custom Region,Jamaica,2020,2808570,10831,259.3
Custom Region,Japan,2020,125507472,364485,344.3
Custom Region,Jersey,2020,101073,116,871.3
Custom Region,Jordan,2020,10820644,88802,121.9
Custom Region,Kazakhstan,2020,19091949,2699700,7.1
Custom Region,Kenya,2020,53527936,569140,94.1
Custom Region,Kiribati,2020,111796,811,137.8
Custom Region,"Korea, North",2020,25643466,120408,213
Custom Region,"Korea, South",2020,51835110,96920,534.8
Custom Region,Kosovo,2020,1932774,10887,177.5
Custom Region,Kuwait,2020,2993706,17818,168
Custom Region,Kyrgyzstan,2020,5964897,191801,31.1
Custom Region,Laos,2020,7447396,230800,32.3
Custom Region,Latvia,2020,1881232,62249,30.2
Custom Region,Lebanon,2020,5469612,10230,534.7
Custom Region,Lesotho,2020,1969334,30355,64.9
Custom Region,Liberia,2020,5073296,96320,52.7
Custom Region,Libya,2020,6890535,1759540,3.9
Custom Region,Liechtenstein,2020,39137,160,244.6
Custom Region,Lithuania,2020,2731464,62680,43.6
Custom Region,Luxembourg,2020,628381,2586,243
Custom Region,Macau,2020,614458,28,21789.3
Custom Region,Madagascar,2020,26955737,581540,46.4
Custom Region,Malawi,2020,21196629,94080,225.3
Custom Region,Malaysia,2020,32652083,328657,99.4
Custom Region,Maldives,2020,391904,298,1315.1
Custom Region,Mali,2020,19553397,1220190,16
Custom Region,Malta,2020,457267,316,1447
Custom Region,Marshall Islands,2020,77917,181,430.5
Custom Region,Mauritania,2020,4005475,1030700,3.9
Custom Region,Mauritius,2020,1379365,2030,679.5
Custom Region,Mexico,2020,128649565,1943945,66.2
Custom Region,"Micronesia, Federated States of",2020,102436,702,145.9
Custom Region,Moldova,2020,3364496,32891,102.3
Custom Region,Monaco,2020,30940,2,15470
Custom Region,Mongolia,2020,3168026,1553556,2
Custom Region,Montenegro,2020,609859,13452,45.3
Custom Region,Montserrat,2020,5373,102,52.7
Custom Region,Morocco,2020,35561654,446300,79.7
Custom Region,Mozambique,2020,30098197,786380,38.3
Custom Region,Namibia,2020,2630073,823290,3.2
Custom Region,Nauru,2020,9785,21,466
Custom Region,Nepal,2020,30327877,143351,211.6
Custom Region,Netherlands,2020,17280397,33893,509.9
Custom Region,New Caledonia,2020,290009,18275,15.9
Custom Region,New Zealand,2020,4925477,264537,18.6
Custom Region,Nicaragua,2020,6203441,119990,51.7
Custom Region,Niger,2020,22772361,1266700,18
Custom Region,Nigeria,2020,214028302,910768,235
Custom Region,North Macedonia,2020,2125971,25433,83.6
Custom Region,Northern Mariana Islands,2020,51433,472,108.9
Custom Region,Norway,2020,5467439,304282,18
Custom Region,Oman,2020,3634689,309500,11.7
Custom Region,Pakistan,2020,233500636,770875,302.9
Custom Region,Palau,2020,21685,459,47.2
Custom Region,Panama,2020,3894082,74340,52.4
Custom Region,Papua New Guinea,2020,7259456,452860,16
Custom Region,Paraguay,2020,7191685,397302,18.1
Custom Region,Peru,2020,31914989,1279996,24.9
Custom Region,Philippines,2020,109180815,298170,366.2
Custom Region,Poland,2020,38282325,304255,125.8
Custom Region,Portugal,2020,10302674,91470,112.6
Custom Region,Puerto Rico,2020,3189068,8869,359.6
Custom Region,Qatar,2020,2444174,11586,211
Custom Region,Romania,2020,21302893,229891,92.7
Custom Region,Russia,2020,141722205,16377742,8.7
Custom Region,Rwanda,2020,12712431,24668,515.3
Custom Region,Saint Barthelemy,2020,7122,25,284.9
Custom Region,"Saint Helena, Ascension, and Tristan da Cunha",2020,7862,394,20
Custom Region,Saint Kitts and Nevis,2020,53821,261,206.2
Custom Region,Saint Lucia,2020,166487,606,274.7
Custom Region,Saint Martin,2020,32556,54,598.5
Custom Region,Saint Pierre and Miquelon,2020,5347,242,22.1
Custom Region,Saint Vincent and the Grenadines,2020,101390,389,260.6
Custom Region,Samoa,2020,203774,2821,72.2
Custom Region,San Marino,2020,34232,61,561.2
Custom Region,Sao Tome and Principe,2020,211122,964,219
Custom Region,Saudi Arabia,2020,34173498,2149690,15.9
Custom Region,Senegal,2020,15736368,192530,81.7
Custom Region,Serbia,2020,7012165,77474,90.5
Custom Region,Seychelles,2020,95981,455,210.9
Custom Region,Sierra Leone,2020,6624933,71620,92.5
Custom Region,Singapore,2020,6209660,709,8755.9
Custom Region,Sint Maarten,2020,43847,34,1289.6
Custom Region,Slovakia,2020,5440602,48105,113.1
Custom Region,Slovenia,2020,2102678,20151,104.3
Custom Region,Solomon Islands,2020,685097,27986,24.5
Custom Region,Somalia,2020,11757124,627337,18.7
Custom Region,South Africa,2020,56463617,1214470,46.5
Custom Region,South Sudan,2020,10561244,644329,16.4
Custom Region,Spain,2020,50015792,498980,100.2
Custom Region,Sri Lanka,2020,22889201,64630,354.2
Custom Region,Sudan,2020,45561556,1861484,24.5
Custom Region,Suriname,2020,609569,156000,3.9
Custom Region,Sweden,2020,10202491,410335,24.9
Custom Region,Switzerland,2020,8403994,39997,210.1
Custom Region,Syria,2020,19398448,185887,104.4
Custom Region,Taiwan,2020,23603049,32260,731.7
Custom Region,Tajikistan,2020,8873669,141510,62.7
Custom Region,Tanzania,2020,58552845,885800,66.1
Custom Region,Thailand,2020,68977400,510890,135
Custom Region,Timor-Leste,2020,1383723,14874,93
Custom Region,Togo,2020,8608444,54385,158.3
Custom Region,Tonga,2020,106095,717,148
Custom Region,Trinidad and Tobago,2020,1208789,5128,235.7
Custom Region,Tunisia,2020,11721177,155360,75.4
Custom Region,Turkey,2020,82017514,769632,106.6
Custom Region,Turkmenistan,2020,5528627,469930,11.8
Custom Region,Turks and Caicos Islands,2020,55926,948,59
Custom Region,Tuvalu,2020,11342,26,436.2
Custom Region,Uganda,2020,43252966,197100,219.4
Custom Region,Ukraine,2020,43922939,579330,75.8
Custom Region,United Arab Emirates,2020,9992083,83600,119.5
Custom Region,United Kingdom,2020,65761117,241930,271.8
Custom Region,United States,2020,332639102,9149429,36.4
Custom Region,Uruguay,2020,3387605,175015,19.4
Custom Region,Uzbekistan,2020,30565411,425400,71.9
Custom Region,Vanuatu,2020,298333,12189,24.5
Custom Region,Venezuela,2020,28644603,882050,32.5
Custom Region,Vietnam,2020,98721275,310070,318.4
Custom Region,"Virgin Islands, British",2020,37381,151,247.6
Custom Region,"Virgin Islands, U.S.",2020,106235,348,305.3
Custom Region,Wallis and Futuna,2020,15854,142,111.6
Custom Region,West Bank,2020,2900034,5640,514.2
Custom Region,Western Sahara,2020,652271,266000,2.5
Custom Region,Yemen,2020,29884405,527968,56.6
Custom Region,Zambia,2020,17426623,743398,23.4
Custom Region,Zimbabwe,2020,14546314,386847,37.6
